cluster,Label
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
7,maize
2,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,chickpea
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
6,kidneybeans
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
2,pigeonpeas
1,pigeonpeas
2,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
6,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
6,pigeonpeas
1,pigeonpeas
6,pigeonpeas
6,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
6,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
6,pigeonpeas
1,pigeonpeas
6,pigeonpeas
1,pigeonpeas
2,pigeonpeas
6,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
1,pigeonpeas
6,pigeonpeas
2,pigeonpeas
6,pigeonpeas
2,pigeonpeas
